City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,madison,34.7334,-86.5667,21.03,31,0,1.34,US,1680476225
273,urengoy,65.9667,78.3667,-5.95,96,100,2.75,RU,1680476443
274,hovd,48.0056,91.6419,-13.62,39,30,1.34,MN,1680476443
275,esperance,-33.8667,121.9,18.08,72,94,2.23,AU,1680476443
276,mangrol,21.1167,70.1167,23.34,76,0,3.96,IN,1680476443
277,ipora,-16.4419,-51.1178,23.88,74,72,1.84,BR,1680476443
278,bethel,41.3712,-73.414,8.93,28,0,6.17,US,1680476314
279,port hardy,50.6996,-127.4199,7.1,61,75,5.14,CA,1680476444
280,minyar,55.0709,57.5485,1.46,94,9,1.0,RU,1680476444
281,cabanas,22.9758,-82.9219,26.19,67,4,5.36,CU,1680476444
282,te anau,-45.4167,167.7167,11.77,61,32,0.94,NZ,1680475847
283,acapulco,16.8634,-99.8901,29.67,50,23,4.6,MX,1680475868
284,mezen,65.8522,44.24,-16.04,98,15,2.56,RU,1680476444
285,soller,39.7662,2.7152,13.81,73,10,8.26,ES,1680476445
286,clyde river,70.4692,-68.5914,-22.87,77,0,3.09,CA,1680476445
287,yar-sale,66.8333,70.8333,-11.35,86,34,4.95,RU,1680475858
288,denison,33.7557,-96.5367,21.2,79,85,4.81,US,1680476409
289,terre haute,39.4667,-87.4139,14.98,53,0,7.2,US,1680476223
290,ahuimanu,21.4447,-157.8378,26.52,84,100,1.79,US,1680476445
291,makat,47.6469,53.3463,9.49,88,96,3.8,KZ,1680476446
292,teluk nibung,3.001,99.8164,24.65,86,100,4.1,ID,1680476446
293,anuppur,23.1,81.6833,21.86,34,17,1.01,IN,1680476446
294,mombetsu,44.3525,143.3525,0.87,62,3,2.41,JP,1680476446
295,aitape,-3.1374,142.3475,26.27,79,100,3.17,PG,1680476446
296,san patricio,28.017,-97.5169,30.66,52,100,7.66,US,1680476446
297,mitchell,43.7094,-98.0298,11.99,32,0,8.23,US,1680476320
298,hlinsko,49.7621,15.9076,3.24,86,57,6.26,CZ,1680476447
299,carutapera,-1.195,-46.02,24.22,93,100,2.42,BR,1680475864
300,hualmay,-11.0964,-77.6139,23.88,85,39,4.21,PE,1680476447
301,mwaya,-9.55,33.95,21.61,94,100,1.56,TZ,1680476447
302,charlottetown,46.2352,-63.1267,1.29,42,0,6.17,CA,1680476447
303,vilhena,-12.7406,-60.1458,24.12,78,40,5.14,BR,1680476447
304,manacapuru,-3.2997,-60.6206,23.7,92,100,2.11,BR,1680476448
305,drovyanaya,51.5833,113.0333,-9.99,58,75,6.37,RU,1680476448
306,zhanaozen,43.3,52.8,6.12,71,68,5.99,KZ,1680476448
307,omsukchan,62.5333,155.8,-17.55,93,63,2.21,RU,1680476448
308,maniitsoq,65.4167,-52.9,-5.99,72,10,3.81,GL,1680476358
309,de aar,-30.6497,24.0123,16.85,70,55,1.85,ZA,1680476448
